phenotype,peak_value,lower_bound,upper_bound,n_patients
buspirone__mean_dose,4913.264928944364,2055.9006211180126,40154.091392136026,366
fenofibrate__mean_dose,159275.39197644463,49454.545454545456,180703.8498343762,119
fenofibrate__mean_dose,202132.30769230772,180703.8498343762,585165.991902834,130
rasagiline__mean_dose,998.217306441119,528.3018867924528,1931.0344827586207,51
bezafibrate__mean_dose,198318.196526804,153424.65753424657,298465.3219717398,56
bezafibrate__mean_dose,398612.4474166756,298465.3219717398,844094.4881889764,286
temazepam__mean_dose,9811.641791044778,1492.5373134328358,14841.797986810137,7415
temazepam__mean_dose,19871.954182575497,14841.797986810137,40186.04651162791,629
quetiapine__mean_dose,26254.216726592414,14021.16402116402,829558.0110497237,132
sertraline__mean_dose,49495.75271354412,11538.461538461539,74364.32279377064,3716
sertraline__mean_dose,99232.89287399717,74364.32279377064,273312.8834355828,360
bendroflumethiazide__mean_dose,2501.5096345943157,475.2851711026616,2933.3279628794226,9044
bendroflumethiazide__mean_dose,3365.146291164529,2933.3279628794226,4195.566153251272,164
bendroflumethiazide__mean_dose,5025.986015338016,4195.566153251272,7118.64406779661,424
promazine__mean_dose,25337.86694938229,13157.894736842105,361157.1008094187,89
valproate__mean_dose,193922.89329195512,44444.444444444445,2762234.423490093,164
indoramin__mean_dose,19909.81503840047,14906.832298136645,91875.7975329647,135
lidocaine__mean_dose,19000.03120689655,0.034482758620689655,29000.029482758622,589
lidocaine__mean_dose,39000.027758620694,29000.029482758622,44000.02689655173,2868
lidocaine__mean_dose,49000.02603448276,44000.02689655173,64000.02344827587,151
lidocaine__mean_dose,79000.02086206898,64000.02344827587,89000.01913793104,168
lidocaine__mean_dose,99000.0174137931,89000.01913793104,200000.0,154
amantadine__mean_dose,100649.81096408318,50000.0,455198.4877126654,83
celiprolol__mean_dose,201302.9309400277,104545.45454545454,576533.1442750797,54
atorvastatin__mean_dose,9617.721518987342,2531.6455696202534,15129.113924050633,6446
atorvastatin__mean_dose,20640.506329113923,15129.113924050633,30088.607594936708,5538
atorvastatin__mean_dose,39536.70886075949,30088.607594936708,60007.594936708854,2226
atorvastatin__mean_dose,80478.48101265822,60007.594936708854,160000.0,411
isosorbide_dinitrate__mean_dose,20477.873678158045,4411.764705882353,101782.12211361382,60
chlorpromazine__mean_dose,25212.172647914645,5555.555555555556,362948.5935984481,237
lacidipine__mean_dose,1988.1016333938296,1379.3103448275863,8541.560798548095,90
trimipramine__mean_dose,23946.959766058284,5971.563981042654,217446.8085106383,71
lisinopril__mean_dose,4889.681553529599,1335.8778625954199,7474.266056027184,1826
lisinopril__mean_dose,10058.85055852477,7474.266056027184,14904.946500707738,1086
